Date,Category,Amount,Payment_Method,Description
2025-10-31,Transport,3503.17,Debit Card,Expense 153
2026-04-25,Shopping,2625.87,Cash,Expense 154
2025-07-20,Entertainment,4322.44,Debit Card,Expense 155
2025-08-17,Food,1938.49,Credit Card,Expense 156
2026-04-04,Entertainment,4391.84,Credit Card,Expense 157
2025-12-21,Food,3166.63,Credit Card,Expense 158
2025-10-09,Bills,2269.04,Debit Card,Expense 159
2025-09-10,Entertainment,331.29,Cash,Expense 160
2025-08-12,Bills,3737.8,Credit Card,Expense 161
2025-07-17,Healthcare,4425.9,Cash,Expense 162
2025-08-04,Entertainment,4698.66,UPI,Expense 163
2026-04-08,Transport,3090.72,Debit Card,Expense 164
2025-12-14,Transport,3471.79,Debit Card,Expense 165
2026-01-13,Entertainment,3174.8,Debit Card,Expense 166
2025-09-01,Healthcare,1165.47,Credit Card,Expense 167
2025-05-09,Shopping,249.77,Credit Card,Expense 168
2025-06-15,Bills,1927.99,Cash,Expense 169
2025-12-21,Food,4906.73,Credit Card,Expense 170
2025-12-26,Shopping,1791.08,Credit Card,Expense 171
2025-11-08,Healthcare,2298.3,Cash,Expense 172
2026-02-27,Shopping,1810.49,Debit Card,Expense 173
2025-09-17,Bills,122.94,Cash,Expense 174
2026-01-18,Shopping,1802.42,Credit Card,Expense 175
2025-09-07,Shopping,437.31,Debit Card,Expense 176
2025-11-01,Food,2286.18,Cash,Expense 177
2025-09-27,Bills,2557.23,Credit Card,Expense 178
2026-04-30,Entertainment,4209.54,Credit Card,Expense 179
2025-07-23,Entertainment,2090.61,UPI,Expense 180
2025-10-19,Transport,3430.49,UPI,Expense 181
2025-09-03,Food,1513.92,Cash,Expense 182
2025-06-07,Shopping,2613.09,Credit Card,Expense 183
2025-07-24,Shopping,4205.61,Credit Card,Expense 184
2025-08-02,Healthcare,1840.87,Credit Card,Expense 185
2025-12-24,Transport,1412.6,UPI,Expense 186
2026-02-26,Transport,1158.08,Cash,Expense 187
2026-03-11,Bills,2731.99,Credit Card,Expense 188
2026-04-24,Food,2650.42,UPI,Expense 189
2026-04-23,Shopping,1187.78,Debit Card,Expense 190
2025-09-14,Bills,1159.67,Credit Card,Expense 191
2025-08-06,Shopping,3605.87,Credit Card,Expense 192
2025-11-07,Transport,504.23,Credit Card,Expense 193
2025-10-21,Food,4610.8,Debit Card,Expense 194
2025-07-29,Healthcare,3389.54,Debit Card,Expense 195
2026-01-11,Transport,2886.59,UPI,Expense 196
2025-10-25,Transport,565.59,Cash,Expense 197
2025-06-21,Transport,3965.96,Debit Card,Expense 198
2026-01-05,Healthcare,4372.82,Credit Card,Expense 199
2025-11-11,Entertainment,3717.63,Credit Card,Expense 200
2025-08-26,Healthcare,4376.39,Debit Card,Expense 201
2025-12-11,Food,3728.26,Cash,Expense 202
2026-02-06,Bills,179.7,Debit Card,Expense 203
2025-08-15,Shopping,1268.63,UPI,Expense 204
2025-09-11,Shopping,2756.08,Credit Card,Expense 205
2026-04-18,Bills,2486.19,UPI,Expense 206
2026-02-02,Bills,1521.68,Cash,Expense 207
2026-04-30,Entertainment,226.94,Cash,Expense 208
2026-03-19,Food,3151.48,Debit Card,Expense 209
2025-10-16,Food,1319.74,Debit Card,Expense 210
2025-05-24,Food,3440.46,Credit Card,Expense 211
2025-07-18,Shopping,3704.46,Cash,Expense 212
2025-08-15,Food,3098.86,Cash,Expense 213
2026-03-22,Entertainment,2522.26,Credit Card,Expense 214
2025-07-17,Food,4144.47,UPI,Expense 215
2025-06-14,Bills,3554.03,Cash,Expense 216
2025-11-11,Entertainment,269.5,Cash,Expense 217
2025-12-29,Food,2392.33,UPI,Expense 218
2025-06-18,Entertainment,2858.34,Cash,Expense 219
2025-07-08,Food,357.04,Debit Card,Expense 220
2025-12-07,Transport,3620.06,UPI,Expense 221
2025-06-11,Transport,2436.11,Credit Card,Expense 222
2025-10-23,Food,3485.74,Debit Card,Expense 223
2025-12-09,Bills,3260.64,UPI,Expense 224
2025-09-18,Bills,3422.96,Cash,Expense 225
2026-02-04,Shopping,725.92,Credit Card,Expense 226
2026-04-05,Food,937.59,UPI,Expense 227
2026-01-13,Shopping,3096.81,Debit Card,Expense 228
2025-05-13,Entertainment,3351.6,Debit Card,Expense 229
2026-03-22,Bills,3531.03,Debit Card,Expense 230
2025-10-27,Entertainment,2567.98,Credit Card,Expense 231
2026-03-18,Entertainment,4304.09,UPI,Expense 232
2025-12-23,Bills,4628.26,Credit Card,Expense 233
2025-06-29,Transport,872.61,Credit Card,Expense 234
2025-07-04,Bills,1548.61,Debit Card,Expense 235
2026-03-13,Food,2089.49,Credit Card,Expense 236
2026-02-25,Healthcare,480.51,UPI,Expense 237
2025-07-26,Shopping,4751.37,UPI,Expense 238
2026-01-31,Entertainment,2872.62,Debit Card,Expense 239
2025-08-11,Bills,376.23,UPI,Expense 240
2026-02-10,Transport,1940.92,Cash,Expense 241
2026-04-03,Entertainment,4202.53,Debit Card,Expense 242
2025-11-21,Transport,1814.18,Debit Card,Expense 243
2025-12-15,Entertainment,4378.22,Cash,Expense 244
2026-02-15,Bills,2164.63,UPI,Expense 245
2025-08-31,Transport,2724.53,UPI,Expense 246
2026-01-07,Food,2035.9,Debit Card,Expense 247
2025-12-01,Food,977.32,UPI,Expense 248
2026-04-18,Healthcare,2848.22,Debit Card,Expense 249
2026-02-10,Shopping,4122.25,Cash,Expense 250
2026-04-06,Food,2441.7,UPI,Expense 251
2025-12-28,Healthcare,665.65,Credit Card,Expense 252
2025-08-31,Healthcare,2704.73,Credit Card,Expense 253
2026-03-20,Shopping,1486.5,UPI,Expense 254
2025-11-09,Food,1291.87,UPI,Expense 255
2026-02-27,Shopping,1911.87,UPI,Expense 256
2025-10-26,Shopping,353.92,Cash,Expense 257
2025-12-07,Transport,1893.44,Credit Card,Expense 258
2026-02-26,Food,2000.12,UPI,Expense 259
2025-09-15,Entertainment,435.29,UPI,Expense 260
2025-12-29,Shopping,2869.48,Cash,Expense 261
2025-07-07,Transport,997.94,Cash,Expense 262
2025-12-30,Food,1394.62,Debit Card,Expense 263
2026-03-30,Bills,4705.63,Credit Card,Expense 264
2026-01-23,Healthcare,4675.04,Credit Card,Expense 265
2026-01-24,Healthcare,3442.64,UPI,Expense 266
2025-07-30,Bills,2431.73,Credit Card,Expense 267
2025-06-15,Shopping,2740.44,Cash,Expense 268
2025-10-11,Shopping,1481.86,Debit Card,Expense 269
2025-07-20,Shopping,1680.88,Cash,Expense 270
2025-11-20,Healthcare,2729.94,Debit Card,Expense 271
2026-01-23,Shopping,2765.39,UPI,Expense 272
2026-02-24,Transport,4636.7,Credit Card,Expense 273
2026-05-04,Bills,1592.14,Credit Card,Expense 274
2025-06-29,Food,4357.93,Credit Card,Expense 275
2025-06-28,Healthcare,4564.81,Cash,Expense 276
2026-01-20,Shopping,1180.12,Debit Card,Expense 277
2026-04-16,Food,4992.66,UPI,Expense 278
2025-09-08,Transport,2062.84,Cash,Expense 279
2025-05-23,Bills,1383.26,UPI,Expense 280
2025-06-25,Food,2747.08,Cash,Expense 281
2025-07-02,Bills,2429.24,UPI,Expense 282
2025-12-15,Food,4316.33,UPI,Expense 283
2026-03-27,Transport,3566.71,Debit Card,Expense 284
2026-01-06,Transport,4605.06,UPI,Expense 285
2025-08-31,Shopping,1505.76,UPI,Expense 286
2025-11-29,Healthcare,1786.53,Debit Card,Expense 287
2025-06-23,Bills,2855.87,Cash,Expense 288
2025-05-28,Shopping,1217.34,Cash,Expense 289
2025-06-23,Transport,1210.06,Cash,Expense 290
2025-07-13,Bills,289.43,Cash,Expense 291
2025-11-10,Entertainment,4109.21,Debit Card,Expense 292
2025-07-29,Shopping,3930.01,Debit Card,Expense 293
2026-03-24,Bills,2570.63,Credit Card,Expense 294
2026-01-06,Food,1462.74,Cash,Expense 295
2025-12-08,Healthcare,763.16,Credit Card,Expense 296
2026-03-04,Transport,613.73,Debit Card,Expense 297
2026-02-12,Entertainment,4165.39,Debit Card,Expense 298
2025-06-06,Food,288.8,Cash,Expense 299
2026-05-10,Food,111.0,Cash,
2026-05-10,Food,111.0,Cash,
2026-05-10,Food,131.0,Cash,
2026-05-10,Food,131.0,UPI,
